"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CQAFVDWF","journalArticle","2024","Toker, Eylem; Gökduman Keleş, Mine","The effect of virtual reality on fetal movement, fetal heart rate, maternal satisfaction, fatigue, and anxiety levels and vital signs of pregnant women  during non-stress test: A randomized controlled trial.","Health care for women international","","1096-4665 0739-9332","10.1080/07399332.2023.2223159","","The study was conducted to investigate the effect of virtual reality on fetal movement, fetal heart rate, maternal satisfaction, fatigue and anxiety levels.  The data of this randomized control experimental design study were collected  using the State Anxiety Inventory, the Visual Analogue for Fatigue and the  Newcastle-Satisfaction-Nursing-Care-Scale. A total of 88 pregnant women were  included in the study. While the pregnant women in the experimental group watched  a nature video with virtual reality during the Non-Stress Test procedure, those  in the control group underwent the routine Non-Stress Test. The anxiety scores,  the maternal satisfaction scores significantly higher in the experimental group.  The virtual reality application is effective in reducing fatigue. There was a  significant difference only in the experimental group in terms of systolic blood  pressure, pulse values, the number of fetal movements and accelerations. It is  recommended to have pregnant women use virtual reality during the Non-Stress Test  procedure.","2024","2025-11-07 06:45:02","2025-11-07 06:50:00","","765-781","","7","45","","Health Care Women Int","","","","","","","","eng","","","","","","","Place: England PMID: 37347556","","","","*Virtual Reality; Adult; Female; Humans; *Anxiety/psychology; Pregnancy; *Fatigue/psychology; *Fetal Movement; *Heart Rate, Fetal/physiology; *Pregnant People/psychology; Patient Satisfaction; Stress, Psychological/psychology; Vital Signs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54GADVKX","journalArticle","2025","Szitás, Dagmar; Halamová, Júlia; Pichler, Viliam","Virtual exposure to natural versus urban environments: a pilot study on impacts on self-compassion, self-protection, and self-criticism.","Scientific reports","","2045-2322","10.1038/s41598-025-15009-5","","This study explored the effects of a virtual forest environment compared to a virtual urban setting on key psychological factors, including self-compassion,  self-protection, self-criticism, and stress. Designed as a pilot randomized  controlled trial, the study included 28 adult participants who were randomly  assigned to either the virtual forest or virtual city condition. Results from the  Self-Compassion and Self-Criticism Scale indicated a significant increase in  state self-compassion and a decrease in state self-criticism within the Forest  Group. Notably, state self-criticism also decreased in the City Group. However,  participants in the City Group experienced a significant increase in perceived  stress and a decline in trait compassion, as measured by the Sussex-Oxford  Compassion Scale. These findings suggest that virtual forest bathing may serve as  a valuable therapeutic intervention, promoting self-compassion - recognized as a  transdiagnostic factor for mental well-being - while reducing self-criticism, a  known transdiagnostic factor of psychopathology.","2025-08-15","2025-11-07 06:45:02","2025-11-07 06:50:06","","29963","","1","15","","Sci Rep","","","","","","","","eng","© 2025. The Author(s).","","","","","","Place: England PMID: 40817383  PMCID: PMC12356832","","","","Virtual reality; Stress; *Virtual Reality; Adult; Female; Humans; Male; Middle Aged; Young Adult; Pilot Projects; Stress, Psychological/psychology; *Empathy; *Self Concept; Forest bathing; Randomized control; Self-Assessment; Self-criticism; Self-protection; Trial self-compassion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9L7UCSU6","journalArticle","2024","Araujo-Duran, Jorge; Kopac, Orkun; Montalvo Campana, Mateo; Bakal, Omer; Sessler, Daniel I.; Hofstra, Richard L.; Shah, Karan; Turan, Alparslan; Ayad, Sabry","Virtual Reality Distraction for Reducing Acute Postoperative Pain After Hip Arthroplasty: A Randomized Trial.","Anesthesia and analgesia","","1526-7598 0003-2999","10.1213/ANE.0000000000006642","","BACKGROUND: Relaxation and distraction provided by virtual reality presentations might be analgesic and reduce the need for opioid analgesia. We tested the  hypothesis that a virtual reality program (AppliedVR) decreases acute  postoperative pain and opioid requirements in patients recovering from hip  arthroplasty. We also evaluated whether virtual reality distraction improves  patient mobility and reduces the need for antiemetics. METHODS: We evaluated 106  adults who were recovering from elective primary total hip arthroplasty.  Participating patients were randomized to 2- to 8-minute-long 3-dimensional  immersive virtual reality relaxation and distraction video presentations (eg,  guided breathing exercises, games, mindfulness) or to 2-dimensional presentations  of nature short films (eg, forest wildlife) with neutral music that was chosen to  be neither overly relaxing nor distracting, presented through identical headsets.  Our primary outcome was pain after virtual reality or sham video presentations,  adjusted for pretreatment scores. Secondary outcomes included total opioid  consumption, pain scores obtained per routine by nurse staff, perception of video  system usability, and pain 1 week after hospital discharge. RESULTS: Fifty-two  patients were randomized to virtual reality distraction and relaxation, and 54  were assigned to 2-dimensional sham presentations. Virtual reality presentations  were not found to affect pain scores before and after presentations, with an  estimated difference in means (virtual reality minus sham video) of -0.1 points  (95% confidence interval [CI], -0.5 to 0.2; P = .391) on a 0 to 10 scale, with 10  being the worst. The mean (standard error [SE]) after-intervention pain score was  estimated to be 3.4 (0.3) in the virtual reality group and 3.5 (0.2) in the  reference group. Virtual reality treatment was not found to affect postoperative  opioid consumption in morphine milligram equivalents, with an estimated ratio of  geometric means (virtual reality/sham video) of 1.2 (95% CI, 0.6-2.1; P = .608).  Virtual reality presentations were not found to reduce pain scores collected  every 4 hours by nursing staff, with an estimated difference in means of 0.1  points (95% CI, -0.9 to 0.7; P = .768). CONCLUSIONS: We did not observe  statistically significant or clinically meaningful reductions in average pain  scores or opioid consumption. As used in our trial, virtual reality did not  reduce acute postoperative pain.","2024-04-01","2025-11-07 06:45:02","2025-11-07 06:50:07","","751-759","","4","138","","Anesth Analg","","","","","","","","eng","Copyright © 2023 International Anesthesia Research Society.","","","","","","Place: United States PMID: 37678233  PMCID: PMC10909914","","","","*Virtual Reality; Adult; Humans; Pain Measurement; *Arthroplasty, Replacement, Hip/adverse effects; Analgesics, Opioid/therapeutic use; Pain, Postoperative/diagnosis/etiology/prevention & control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FHKJASMF","journalArticle","2020","Laska, Eugene M.; Siegel, Carole E.; Lin, Ziqiang; Bogenschutz, Michael; Marmar, Charles R.","Gabapentin Enacarbil Extended-Release Versus Placebo: A Likely Responder Reanalysis of a Randomized Clinical Trial.","Alcoholism, clinical and experimental research","","1530-0277 0145-6008","10.1111/acer.14414","","BACKGROUND: We reanalyzed a multisite 26-week randomized double-blind placebo-controlled clinical trial of 600 mg twice-a-day Gabapentin Enacarbil  Extended-Release (GE-XR), a gabapentin prodrug, designed to evaluate safety and  efficacy for treating alcohol use disorder. In the original analysis (n = 338),  published in 2019, GE-XR did not differ from placebo. Our aim is to advance  precision medicine by identifying likely responders to GE-XR from the trial data  and to determine for likely responders if GE-XR is causally superior to placebo.  METHODS: The primary outcome measure in the reanalysis is the reduction from  baseline of the number of heavy drinking days (ΔHDD). Baseline features including  measures of alcohol use, anxiety, depression, mood states, sleep, and impulsivity  were used in a random forest (RF) model to predict ΔHDD to treatment with GE-XR  based on those assigned to GE-XR. The resulting RF model was used to obtain  predicted outcomes for those randomized to GE-XR and counterfactually to those  randomized to placebo. Likely responders to GE-XR were defined as those predicted  to have a reduction of 14 days or more. Tests of causal superiority of GE-XR to  placebo were obtained for likely responders and for the whole sample. RESULTS:  For likely responders, GE-XR was causally superior to placebo (p < 0.0033), while  for the whole sample, there was no difference. Likely responders exhibited  improved outcomes for the related outcomes of percent HDD and drinks per week.  Compared with unlikely responders, at baseline likely responders had higher HDDs;  lower levels of anxiety, depression, and general mood disturbances; and higher  levels of cognitive and motor impulsivity. CONCLUSIONS: There are substantial  causal benefits of treatment with GE-XR for a subset of patients predicted to be  likely responders. The likely responder statistical paradigm is a promising  approach for analyzing randomized clinical trials to advance personalized  treatment.","2020-09","2025-11-07 06:45:02","2025-11-07 06:49:44","","1875-1884","","9","44","","Alcohol Clin Exp Res","","","","","","","","eng","© 2020 The Authors. Alcoholism: Clinical & Experimental Research published by Wiley Periodicals LLC on behalf of Research Society on Alcoholism.","","","","","","Place: England PMID: 33460198  PMCID: PMC7540534","","","","Machine Learning; Adult; Female; Humans; Male; Middle Aged; Alcohol Use Disorder; Alcoholism/*drug therapy/psychology; Carbamates/*therapeutic use; Gabapentin Enacarbil Extended‐Release; gamma-Aminobutyric Acid/*analogs & derivatives/therapeutic use; Likely Responder Analysis; Outcome Assessment, Health Care; Precision Medicine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZHIX8KMU","journalArticle","2016","Norrholm, Seth Davin; Jovanovic, Tanja; Gerardi, Maryrose; Breazeale, Kathryn G.; Price, Matthew; Davis, Michael; Duncan, Erica; Ressler, Kerry J.; Bradley, Bekh; Rizzo, Albert; Tuerk, Peter W.; Rothbaum, Barbara O.","Baseline psychophysiological and cortisol reactivity as a predictor of PTSD treatment outcome in virtual reality exposure therapy.","Behaviour research and therapy","","1873-622X 0005-7967","10.1016/j.brat.2016.05.002","","Baseline cue-dependent physiological reactivity may serve as an objective measure of posttraumatic stress disorder (PTSD) symptoms. Additionally, prior animal  model and psychological studies would suggest that subjects with greatest  symptoms at baseline may have the greatest violation of expectancy to danger when  undergoing exposure based psychotherapy; thus treatment approaches which enhanced  the learning under these conditions would be optimal for those with maximal  baseline cue-dependent reactivity. However methods to study this hypothesis  objectively are lacking. Virtual reality (VR) methodologies have been  successfully employed as an enhanced form of imaginal prolonged exposure therapy  for the treatment of PTSD. Our goal was to examine the predictive nature of  initial psychophysiological (e.g., startle, skin conductance, heart rate) and  stress hormone responses (e.g., cortisol) during presentation of VR-based  combat-related stimuli on PTSD treatment outcome. Combat veterans with PTSD  underwent 6 weeks of VR exposure therapy combined with either d-cycloserine  (DCS), alprazolam (ALP), or placebo (PBO). In the DCS group, startle response to  VR scenes prior to initiation of treatment accounted for 76% of the variance in  CAPS change scores, p < 0.001, in that higher responses predicted greater changes  in symptom severity over time. Additionally, baseline cortisol reactivity was  inversely associated with treatment response in the ALP group, p = 0.04. We  propose that baseline cue-activated physiological measures will be sensitive to  predicting patients' level of response to exposure therapy, in particular in the  presence of enhancement (e.g., DCS).","2016-07","2025-11-07 06:45:02","2025-11-07 06:49:22","","28-37","","","82","","Behav Res Ther","","","","","","","","eng","Published by Elsevier Ltd.","","","","","","Place: England PMID: 27183343  PMCID: PMC5392238","","","","Virtual reality; Psychophysiology; Adult; Female; Humans; Male; Double-Blind Method; Young Adult; Treatment Outcome; *Virtual Reality Exposure Therapy; Acoustic startle; Alprazolam/therapeutic use; Combined Modality Therapy; Cortisol; Cycloserine/therapeutic use; Exposure therapy; Galvanic Skin Response/*physiology; Heart Rate/*physiology; Hydrocortisone/*metabolism; Photic Stimulation; Posttraumatic stress disorder; Reference Values; Reflex, Startle/*physiology; Saliva/metabolism; Stress Disorders, Post-Traumatic/drug therapy/*physiopathology/therapy; Veterans/psychology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86B85K36","journalArticle","2025","Tanrıverdi, Seher; Genç, Hasan; Atay, Kadri","The Effects of a Virtual Rainforest and Portable Water Wall Application on Patient Satisfaction, Comfort, Anxiety, and Vital Signs Before Colonoscopy: A  Randomized Clinical Trial.","Journal of perianesthesia nursing : official journal of the American Society of PeriAnesthesia Nurses","","1532-8473 1089-9472","10.1016/j.jopan.2025.01.014","","PURPOSE: In this study, we used virtual reality glasses and a virtual rainforest (VRF) movie with natural sounds to create the impression of being in a peaceful  VRF. We also used a portable water wall (PW) device that provides a natural  appearance with irregular stones and light-emitting diode (LED) lights. The aim  of this study was to investigate the effects of PW, an artificial natural water  wall device, and VRF on patient anxiety, satisfaction, comfort, and vital signs  before a colonoscopy procedure. DESIGN: A double-blind randomized clinical trial.  METHODS: The study was completed with 135 participants (45 in the PW group, 45 in  the VRF group, and 45 in the control group). Data were collected using the  Patient Information Form, Vital Signs Record Form, and the State-Trait Anxiety  Inventory. FINDINGS: The study's findings demonstrated that, in both the PW and  VRF groups, there were substantial increases in satisfaction, comfort,  respiratory rate, and oxygen saturation levels, and significant decreases in  anxiety, heart rate, and systolic and diastolic blood pressure (P < .05). The  means of the variables in the control group before and after the surgery did not  differ significantly (P > .05). CONCLUSIONS: According to the study results,  precolonoscopy PW and VRF reduced anxiety, increased satisfaction and comfort,  and had a positive effect on vital signs. The results of this study will  contribute to evidence-based nursing practices for disturbances associated with  colonoscopy. PWs' sound and visual elements can have a calming and relaxing  effect, and VR is a simple, affordable technology that can be used to provide  patients better care.","2025-10","2025-11-07 06:45:02","2025-11-07 06:50:01","","1252-1259","","5","40","","J Perianesth Nurs","","","","","","","","eng","Copyright © 2025 The American Society of PeriAnesthesia Nurses. Published by Elsevier Inc. All rights reserved.","","","","","","Place: United States PMID: 40445155","","","","*Virtual Reality; Adult; Female; Humans; Male; Aged; Double-Blind Method; Middle Aged; *Anxiety/prevention & control; *Colonoscopy/methods/psychology; *Patient Comfort; *Patient Satisfaction; *Rainforest; *Vital Signs/physiology; colonoscopy; glass water wall; nursing; virtual rainforest; Water","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KBXUY6SP","journalArticle","2014","Parsons, Thomas D.; Courtney, Christopher G.","An initial validation of the Virtual Reality Paced Auditory Serial Addition Test in a college sample.","Journal of neuroscience methods","","1872-678X 0165-0270","10.1016/j.jneumeth.2013.10.006","","BACKGROUND: Numerous studies have demonstrated that the Paced Auditory Serial Addition Test (PASAT) has utility for the detection of cognitive processing  deficits. While the PASAT has demonstrated high levels of internal consistency  and test-retest reliability, administration of the PASAT has been known to create  undue anxiety and frustration in participants. As a result, degradation of  performance may be found on the PASAT. The difficult nature of the PASAT may  subsequently decrease the probability of their return for follow up testing. NEW  METHOD: This study is a preliminary attempt at assessing the potential of a PASAT  embedded in a virtual reality environment. The Virtual Reality PASAT (VR-PASAT)  was compared with a paper-and-pencil version of the PASAT as well as other  standardized neuropsychological measures. The two modalities of the PASAT were  conducted with a sample of 50 healthy university students, between the ages of 19  and 34 years. Equivalent distributions were found for age, gender, education, and  computer familiarity. RESULTS: Moderate relationships were found between VR-PASAT  and other putative attentional processing measures. The VR-PASAT was unrelated to  indices of learning, memory, or visuospatial processing. COMPARISON WITH EXISTING  METHOD(S): Comparison of the VR-PASAT with the traditional paper-and-pencil PASAT  indicated that both versions require the examinee to sustain attention at an  increasingly demanding, externally determined rate. CONCLUSIONS: Results offer  preliminary support for the construct validity (in a college sample) of the  VR-PASAT as an attentional processing measure and suggest that this task may  provide some unique information not tapped by traditional attentional processing  tasks.","2014-01-30","2025-11-07 06:45:02","2025-11-07 06:49:14","","15-23","","","222","","J Neurosci Methods","","","","","","","","eng","Copyright © 2013 Elsevier B.V. All rights reserved.","","","","","","Place: Netherlands PMID: 24184058","","","","Adult; Female; Humans; Male; Adolescent; Aged; Middle Aged; Young Adult; *Attention; Memory; *Auditory Perception; *Mathematical Concepts; *Neuropsychological Tests; *User-Computer Interface; Databases, Factual; Ecological validity; Learning; Neuropsychological assessment; Paced Auditory Serial Addition Test; Space Perception; Students; Universities; Virtual environment; Visual Perception","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65ALU4EG","journalArticle","2024","Rosielle, K.; van Haaps, A. P.; Kuijper, E. A. M.; Tonch, N.; Karim, D. E. N. B.; Oskam, M. A.; van den IJssel, R.; Mol, B. W. J.; Lambalk, C. B.; Dreyer, K.; Mijatovic, V.","No pain relief by virtual reality during hysterosalpingography (HSG): results from a randomized controlled trial.","Human reproduction (Oxford, England)","","1460-2350 0268-1161","10.1093/humrep/deae133","","STUDY QUESTION: Is virtual reality (VR) an effective non-pharmacological tool to reduce procedural pain during hysterosalpingography (HSG)? SUMMARY ANSWER: An HSG  with VR does not reduce procedural pain scores compared to an HSG without VR.  WHAT IS KNOWN ALREADY: An HSG is often experienced as painful and uncomfortable.  VR has been proven successful to reduce acute procedural pain during a variety of  medical procedures and interventions. STUDY DESIGN, SIZE, DURATION: We performed  a two-centre open-label randomized controlled trial between January 2021 and  October 2022. PARTICIPANTS/MATERIALS, SETTING, METHODS: Women scheduled for HSG  as part of their infertility work-up were screened for participation. After  informed consent, women were randomized between HSG with or without VR. Due to  the nature of the intervention, the study was not blinded. VR was administered by  a head-mounted device displaying nature movies and/or relaxation exercises. The  primary endpoint was procedural pain measured using VAS (scale 0.0-10.0 cm).  Procedural pain was divided into overall pain score and peak pain score during  the procedure. It was measured immediately after HSG. Secondary endpoints  included patient satisfaction, VR preferences, and adverse effects of VR. MAIN  RESULTS AND THE ROLE OF CHANCE: We included a total of 134 women, 69 to the  intervention group (HSG with VR) and 65 to the control group (HSG without VR).  The mean VAS for peak pain was 6.80 cm (SD 2.25) in the intervention group versus  6.60 cm (SD 2.40) in the control group (mean difference 0.28 (95% CI -0.57,  1.12), P = 0.52). The mean VAS for overall pain was 5.00 cm (SD 2.10) in the  intervention group versus 4.90 cm (SD 2.13) in the control group (mean difference  0.06 (95% CI -0.71, 0.84), P = 0.88). The expectation that VR would be a good  distraction from pain during HSG was correlated with both overall and peak pain  scores. When correcting for this expectation, we found that women in the  intervention group reported significantly higher scores, both in peak (adjusted  MD 0.58 (95% CI -0.81, 1.97), P = 0.021) and overall (adjusted MD 0.43 (95% CI  -0.84, 1.71), P = 0.013) pain, compared to the control group. There were no  differences in the prevalence of symptoms that were considered as adverse effects  of VR. LIMITATIONS, REASONS FOR CAUTION: The study was not blinded. Reasons for  declining participation in the study were anxiety or wanting full control during  HSG, which might have created selection bias. The distraction score possibly  indicates that the level of VR immersiveness was not optimal due to the lack of  sound and/or the type of VR applications. Future studies should investigate  whether more immersive or interactive VR applications could decrease procedural  pain scores during HSG. WIDER IMPLICATIONS OF THE FINDINGS: Since VR does not  reduce procedural pain, this additional tool should not be used during HSG. STUDY  FUNDING/COMPETING INTEREST(S): There was no external funding for this study. KR  and AvH report receiving a travel grant from Merck outside the scope of this  study. BM is supported by a National Health and Medical Research Council (NHMRC)  investigator grant (GNT1176437) and BM reports consultancy for Merck, Organon,  and Norgine and travel and research funding from Merck. BM holds stock for  ObsEva. CL reports receiving research grants from Merck, and Ferring. KD and VM  report receiving travel and speaker's fees from Guerbet and research grants from  Guerbet. VM also reports research grants from Merck and Ferring. The remaining  authors have nothing to declare. TRIAL REGISTRATION NUMBER: The trial is  registered prospectively in the Netherlands Trial Register (trialregister.nl  registration number NL9203, currently accessible on trialsearch.who.int). TRIAL  REGISTRATION DATE: 16-01-2021. DATE OF FIRST PATIENT’S ENROLMENT: The first  participant was enrolled on 19 January 2021.","2024-09-01","2025-11-07 06:45:02","2025-11-07 06:49:50","","1987-1995","","9","39","","Hum Reprod","","","","","","","","eng","© The Author(s) 2024. Published by Oxford University Press on behalf of European Society of Human Reproduction and Embryology.","","","","","","Place: England PMID: 38863305  PMCID: PMC11373382","","","","virtual reality; *Virtual Reality; Adult; Female; Humans; Pain Measurement; Pain Management/methods; Patient Satisfaction; *Hysterosalpingography/methods; *Pain, Procedural/prevention & control/etiology; fertility work-up; hysterosalpingography; Infertility, Female/therapy; pain relief; patient satisfaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NS3LMQGW","journalArticle","2024","Cho, Yaehee; Kim, Hyewon; Seong, Sisu; Park, Karam; Choi, Jooeun; Kim, Min-Ji; Kim, Dokyoon; Jeon, Hong Jin","Effect of virtual reality-based biofeedback for depressive and anxiety symptoms: Randomized controlled study.","Journal of affective disorders","","1573-2517 0165-0327","10.1016/j.jad.2024.06.031","","BACKGROUND: The use of virtual reality (VR)-based biofeedback (BF), a relatively new intervention, is a non-pharmacological treatment of depressive and anxiety  symptoms. However, studies on VR-based BF are lacking and inconclusive. METHODS:  A total of 131 adults were recruited from the community. Participants who scored  ≥10 on the Patient Health Questionnaire-9 (PHQ-9) or ≥9 on the Panic Disorder  Severity Scale (PDSS) were included in the group with depressive or anxiety  symptoms (DAS group), and others as the healthy control group (HC group).  Participants from the DAS group were randomly assigned to VR-based or  conventional BF intervention. All individuals visited at three times (weeks 0, 2,  and 4), and completed the Montgomery-Asberg Depression Rating Scale (MADRS), the  State-Trait Anxiety Inventory (STAI), and a visual analog scale (VAS) before and  after the intervention, and PHQ-9 at the beginning and final visit. RESULTS: The  analysis included a total of 118 participants (DAS/VR: 40, DAS/BF: 38, HC/VR:  40). There was no significant difference in demographic variables among the three  groups. After the intervention, the DAS/VR group exhibited significant decreases  in MADRS (70.0 %), PHQ-9 (64.1 %), STAI (29.5 %), and VAS (61.7 %) scores  compared to the baseline (p <0.001). There were no significant differences  between the effects of VR-based BF and conventional BF with a therapist. The HC  group also showed significant decreases in the measures of depression and anxiety  after receiving VR-based BF. CONCLUSION: VR-based BF was effective in reducing  depressive and anxiety symptoms, even for subthreshold depression and anxiety  symptoms in the HC group.","2024-09-15","2025-11-07 06:46:18","2025-11-07 06:46:18","","392-398","","","361","","J Affect Disord","","","","","","","","eng","Copyright © 2024 Elsevier B.V. All rights reserved.","","","","","","Place: Netherlands PMID: 38885844","","","","Virtual reality; Relaxation; *Virtual Reality; Adult; Female; Humans; Male; Middle Aged; Treatment Outcome; Anxiety; *Biofeedback, Psychology/methods; *Anxiety/therapy/psychology; *Depression/therapy/psychology; Depression; Digital therapeutics; High stress; Psychiatric Status Rating Scales","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7VQWH6VG","journalArticle","2024","Smirnova, Daria; Spikina, Anna; Mezentseva, Daria; Vlasov, Andrei; Astafeva, Darya; Berkovich, Elena; Kruk, Ludmila; Palevskaya, Svetlana; Shport, Svetlana; Akhapkin, Roman; Ashurov, Zarifjon; Khairedinova, Inara; Skugarevski, Oleg; Chaplygin, Sergey; Kolsanov, Alexander; Syunyakov, Timur","Virtual Reality (VR) Device with Integrated Biofeedback Sensors (ReViSide) to Cope with Emotional Burnout State Among Employees Experiencing Stress at  Workplace: Problem Overview and Action Plan.","Psychiatria Danubina","","0353-5053","","","INTRODUCTION: In this study we examine the issue of employee burnout, caused by long-term exposure to workplace stressors, considering its complex phenomenology  in the context of contemporary psychological and psychiatric views. Towards the  development of innovative technologies to correct burnout in the context of  psychosocial rehabilitation, we present our study protocol involving the ReViSide  virtual reality (VR) and biofeedback intervention, including monitoring of  respiratory rates and EEG rhythms. METHODS: The randomized controlled trial  protocol includes adult participants aged 18 to 65 years (n=140) who exhibit  emotional burnout in the workplace. The intervention group will undergo a course  of VR correction (ReViSide), while the control group receives a standard  psychocorrection. The primary endpoint will be level of emotional burnout to the  Maslach Burnout Inventory (MBI). We shall also assess anxiety, depression,  asthenia and subjective improvement in condition using validated scales (HADS,  HARS, HDRS, VAS-A, PGI-C). RESULTS: We shall test our hypothesis that the  VR-correction group will show significant improvements in MBI scores,  particularly in emotional exhaustion, depersonalization, and personal  accomplishment, compared to the control group. Secondary outcome measures are  likewise expected to demonstrate more prominent improvements in the VR group,  correlating with the magnitude of burnout reduction to MBI. Analysis of EEG data  may reveal changes in alpha rhythm patterns during VR sessions, potentially  correlating with reduced distress levels. CONCLUSIONS: We designed this study to  test the integration of an interdisciplinary approach for treating burnout,  highlighting the ReViSide technology. Confirming the efficacy of this approach  for psychosocial rehabilitation targeting burnout states among employees should  improve their stress resilience, daily motivation, and work productivity in the  context of the modern high working pressure environment and demanding corporate  culture.","2024-09","2025-11-07 06:46:18","2025-11-07 06:46:18","","354-360","","Suppl 2","36","","Psychiatr Danub","","","","","","","","eng","","","","","","","Place: Croatia PMID: 39378496","","","","*Virtual Reality; Adult; Female; Humans; Male; Adolescent; Aged; Middle Aged; Young Adult; Electroencephalography; *Burnout, Professional/prevention & control/therapy; Adaptation, Psychological/physiology; biofeedback – burnout – ReViSide - stress at workplace - virtual reality; Biofeedback, Psychology/methods; Burnout, Psychological; Occupational Stress; Workplace/psychology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBTQBYBW","journalArticle","2023","Cuneo, Ami; Yang, Robin; Zhou, Haoran; Wang, Ke; Goh, Sarah; Wang, Yuntao; Raiti, John; Krashin, Daniel; Murinova, Natalia","The Utility of a Novel, Combined Biofeedback-Virtual Reality Device as Add-on Treatment for Chronic Migraine: A Randomized Pilot Study.","The Clinical journal of pain","","1536-5409 0749-8047","10.1097/AJP.0000000000001114","","OBJECTIVES: To determine if the frequent use of a combined biofeedback-virtual reality device improves headache-related outcomes in chronic migraine. MATERIALS  AND METHODS: In this randomized, controlled pilot study, 50 adults with chronic  migraine were randomized to the experimental group (frequent use of a heart rate  variability biofeedback-virtual reality device plus standard medical care; n=25)  or wait-list control group (standard medical care alone; n=25). The primary  outcome was a reduction in mean monthly headache days between groups at 12 weeks.  Secondary outcomes included mean change in acute analgesic use frequency,  depression, migraine-related disability, stress, insomnia, and catastrophizing  between groups at 12 weeks. Tertiary outcomes included change in heart rate  variability and device-related user experience measures. RESULTS: A statistically  significant reduction in mean monthly headache days between groups was not  demonstrated at 12 weeks. However, statistically significant decreases in the  mean frequency of total acute analgesic use per month (65% decrease in the  experimental group versus 35% decrease in the control group, P <0.01) and  depression score (35% decrease in the experimental group versus 0.5% increase in  the control group; P <0.05) were shown at 12 weeks. At study completion, more  than 50% of participants reported device satisfaction on a 5-level Likert scale.  DISCUSSION: Frequent use of a portable biofeedback-virtual reality device was  associated with decreases in the frequency of acute analgesic use and in  depression in individuals with chronic migraine. This platform holds promise as  an add-on treatment for chronic migraine, especially for individuals aiming to  decrease acute analgesic use or interested in nonmedication approaches.","2023-06-01","2025-11-07 06:46:18","2025-11-07 06:46:18","","286-296","","6","39","","Clin J Pain","","","","","","","","eng","Copyright © 2023 Wolters Kluwer Health, Inc. All rights reserved.","","","","","","Place: United States PMID: 37026763","","","","Adult; Humans; Treatment Outcome; Pilot Projects; *Migraine Disorders/therapy; Analgesics/therapeutic use; Biofeedback, Psychology; Headache","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
